userName,score,content,at
Andreas Djsubekti,5,amazing,2025-03-25 20:51:06
noufal ossama,1,لاق وتقطيع بدات الي 60 فريم,2025-03-25 20:49:24
Saifullah memon,5,best game ever,2025-03-25 20:44:32
Isaac Okyere,5,Is very interesting game to Play.,2025-03-25 20:43:04
panpan panpan,5,Okay ပါ,2025-03-25 20:42:37
WARD94 Jonblat,5,playing for 7 years best experiense,2025-03-25 20:42:18
Kashan Ahmed Khan,5,😍😍😍,2025-03-25 20:42:02
ThuTa Aung,5,I like very very,2025-03-25 20:41:24
Bernadette Salazar,5,Nice game,2025-03-25 20:40:08
Hades Zeus,4,One day I will be influencer of this game,2025-03-25 20:39:36
Alvin John Oriquez,5,"I've been playing pubg since 2017, and I still don't have a m4 epic skin. but I still dominate this game",2025-03-25 20:38:58
Azlaan Marwat,5,Awesome online game,2025-03-25 20:38:15
Ismail Abidi,5,Difficult but beautiful game,2025-03-25 20:37:14
hunain Raza,5,best game in the world,2025-03-25 20:36:39
Junaid Abbasi,5,excellent game,2025-03-25 20:36:24
Zaid Wais,5,ووو افضل لعبه موبايل بس حض الامفور الثلجي زفت,2025-03-25 20:34:06
khoton nyo,5,sebab syok maa😁,2025-03-25 20:33:37
Saimmm Abasss,5,I like this game,2025-03-25 20:32:39
Marie miro,5,loving it with lots of memories,2025-03-25 20:31:24
Abdulmajeed Majeed,5,This game is very nice I like it very much I am playing pubg for three years all events was very good but a problem is that when an update come the phone get more space and fps is dropped,2025-03-25 20:31:04
MD LitonHossen,5,really Nice game,2025-03-25 20:30:41
Nyi Nyi Thwe,5,so good but your bot is so hart ok,2025-03-25 20:29:09
Mohanad Alsankri,5,Good,2025-03-25 20:27:34
It's gamer AG,5,best game I ever play ❤️,2025-03-25 20:27:29
Temurbek Arslanov,3,can you guys make uc prices cheap,2025-03-25 20:27:00
امیرعلی اسکندری,5,love 💗,2025-03-25 20:26:13
Cristopher Generoso,4,one of my fav game so far,2025-03-25 20:24:38
Jessa Jean,5,I like this game,2025-03-25 20:20:14
Sagarali Sagaralias,5,happy mood,2025-03-25 20:18:19
natnael wasse,5,PUBG I love you,2025-03-25 20:17:48
Rafay Atif,5,I like it,2025-03-25 20:17:42
Asiqur Rahman,5,best game,2025-03-25 20:17:39
Burhan Munir,1,I am free fire fan hahaha 😂🤣 noob game,2025-03-25 20:17:39
A7md,5,good game❤,2025-03-25 20:17:29
Thobias Machimo,5,i like this game for real. it allows multiplayer,2025-03-25 20:16:43
Dear Sindh,5,THIS IS A BEAUTIFUL AND BEST 🎯 EVER,2025-03-25 20:14:24
Amirali Mirmosvi,5,good jub,2025-03-25 20:14:09
Ahmad Ahmad,5,soooo good good game download now 😊😊😊,2025-03-25 20:12:41
olafbam Bam,5,nice game... cant stop play it...🤘👍,2025-03-25 20:12:29
Calubhay Andrew,5,kudos,2025-03-25 20:12:09
Mahmoud alhassani Hamoodeh,5,افضل لعبه,2025-03-25 20:11:04
BNACARE MEDICAL,5,wow,2025-03-25 20:10:33
darwin condoy,5,love it,2025-03-25 20:10:02
ammar naufal,5,I like this game is so fun and best but I lost my 200 uc just buy a home saya terbeli alatan rumah,2025-03-25 20:08:58
Faizan Khan,5,very good game,2025-03-25 20:08:38
Ali asghar bukhari,5,good graphics good 👍,2025-03-25 20:08:29
Sami Raj,5,Very entertaining ❤️,2025-03-25 20:07:34
AB Gaming YT,5,i love pubg mobile but please solve uc waste problem,2025-03-25 20:07:26
Nuzhat Ikram,5,wow very good game plzz play guys 🎊💗 it's play time 🎉🎉💗🫶🏻,2025-03-25 20:06:51
Muhammad ishfaq,5,good,2025-03-25 20:05:02
Redin,5,best game ever,2025-03-25 20:04:18
Mido Santiago,5,nice game,2025-03-25 20:03:17
Qasim Butt,5,good game,2025-03-25 20:02:45
Shah Zaib,5,I play 7 year old pubg pubg is very good game thank you pubg I entertained you,2025-03-25 20:02:11
Jamil Khan,5,This game is very good but it has too many functions.,2025-03-25 20:01:47
ستایش صفربیگی,5,عالی🥺,2025-03-25 20:01:46
Habib,5,Best game ever,2025-03-25 19:59:55
JONIL ROYO,5,I'm enjoying to play this game,2025-03-25 19:59:52
Naing Linn Htet,5,Really like this game,2025-03-25 19:59:29
Shadan Muhannad,5,THIS IS A GOOD GAME,2025-03-25 19:58:34
Innocent Inostar,5,This is the best online multi-player mobile game ever to be made.. The graphics are wild & somehow realistic.. There are a lot of good things to say about this game & I'd say zero cons.. Even a NOOB can win a match..,2025-03-25 19:57:00
Sami Jutt,4,best game,2025-03-25 19:55:29
Yousaf Sanghi,5,Truly Fantastic 🔥❤️,2025-03-25 19:55:05
Bilgvvn,5,Very good gun game,2025-03-25 19:54:55
Raaj Veer,5,I like soo much,2025-03-25 19:53:30
Norale Hosene,5,عالی عالی,2025-03-25 19:53:23
Raheel Matrus,5,Best Game ever,2025-03-25 19:53:11
joker me51,5,the best game,2025-03-25 19:52:56
Aqib Hussain,5,vip game,2025-03-25 19:52:48
Mvelo Chetmit,5,Great gameplay But needed a little more detailed money system,2025-03-25 19:52:20
MD.Ismail Khan Mahi,5,🩵🤍,2025-03-25 19:50:50
kakashi naruto,5,best game ever,2025-03-25 19:50:46
Fd Dd,5,it's very good,2025-03-25 19:50:45
Mavaega Fealofani,5,nice,2025-03-25 19:49:29
FAIZAN KHAN,4,Pubg bahut acchi hai na magar low device main bhi work Karni chahie 20 FPS PVC chalni pubg walon kar do,2025-03-25 19:47:45
yousef,5,Good,2025-03-25 19:47:00
Zafar Sial,5,good and very interesting game. best game in world pubgmobile,2025-03-25 19:46:06
Ahmed Maher,5,اجمد لعبه,2025-03-25 19:45:53
Ehsanullah Omer,5,this game is the best game in world play this it's Very good,2025-03-25 19:45:17
M Nasir,5,this is very interesting game.,2025-03-25 19:44:20
dj meredith,5,better than cats,2025-03-25 19:42:50
Frinz Alunday,5,not just a game it's a part of my life now,2025-03-25 19:39:03
Arif Masarai,5,player since season 1,2025-03-25 19:39:02
Abdo Ahmed,5,good game,2025-03-25 19:38:28
Abdullah Sandhu,4,this is the time waste game,2025-03-25 19:37:18
Mohamed nader,5,ممتازة,2025-03-25 19:37:16
Abdulmoeed,5,I can't live with out it ✅,2025-03-25 19:36:07
Sk Subhan yt,5,nice game 🎮,2025-03-25 19:34:24
Anandhu Ks,5,fantastic,2025-03-25 19:34:15
Kimver Tecson,5,it's so good,2025-03-25 19:33:59
Madeen Saqib,5,😆😆😆,2025-03-25 19:32:16
MUHAMMAD QASIM,5,amazing game,2025-03-25 19:31:52
Irfan Khan,5,really fun game with friends,2025-03-25 19:31:31
Qasim Khan,5,I like the game,2025-03-25 19:30:47
Joshua Ndula,5,i think it's more good compared to other games,2025-03-25 19:30:35
isham0866,3,fun game,2025-03-25 19:28:21
LIGHT_ Fix,5,nice game,2025-03-25 19:27:58
Evangeline Abrio,5,nice game,2025-03-25 19:27:23
Zool Karnan,5,PUBG MOBILE is the top 1 game in the world I'm very happy. Love you PUBG MOBILE,2025-03-25 19:27:13
Tinomuda K C,5,Fantastic game ever,2025-03-25 19:24:17
Mohammed Ahmed,5,very good,2025-03-25 19:23:28
Kylerick Moroña,5,my experience in this game was amazing! so realistic and challenging,2025-03-25 19:22:04
Jason Tucker,3,make the game where the vehicles would bump land like sharp edges,2025-03-25 19:21:12
Omar Elsheshtawy,5,ببجي مش محتاجه كلام يعني 🔫♥️,2025-03-25 19:21:06
Vhutshilo Manyatse,5,From a tru gamer's POV... The best mobile game ever.,2025-03-25 19:20:41
Viishvan suresh,5,"hi pubg your game is a life changing game to others and me and I watch alot of videos of content creators like wynnsanity,capi gaming,levinho,panda and sevou I love this game pls give me something😂 farewell regards SIVA×VICHU user. thank u so much pubg♥️🩸💪",2025-03-25 19:20:39
Qarled Har Saefuddin,5,I love dist game❤❤❤💣💥💥💯💯💯,2025-03-25 19:19:07
Badamsuren Batmunhk,5,real fun I've been playing this game since 2019 and still not bored for the people going for free fire tell them open ur door its hot,2025-03-25 19:18:47
Rafizal Reduan,5,This is too fun..,2025-03-25 19:18:37
Munhuu A,5,good,2025-03-25 19:15:10
Skeltek Music,5,Good,2025-03-25 19:14:54
ილია Ბაინდურაშვილი,5,Best game ever 🔥,2025-03-25 19:14:21
Ahtisham Ul Haq,5,I love the game and the customer support they supported me to recover my account from a saudi scammer.,2025-03-25 19:12:44
beter Maekel,5,جدا رأئعة,2025-03-25 19:12:42
NOUMAN MAQBOOL,5,love,2025-03-25 19:10:38
Zafi Baloch,5,world no 1 realistic game,2025-03-25 19:09:14
Mohamed Ali,5,help give m416,2025-03-25 19:07:09
Muhd Miqhael99,5,I love this game okay,2025-03-25 19:06:18
Muhammad Bota,1,Wold worst game,2025-03-25 19:06:09
Markis Karau,5,Realistic,2025-03-25 19:05:33
isaack omai,5,lts by far the best game under the sun,2025-03-25 19:04:17
sobish,5,best game but hackers are controlling the game,2025-03-25 19:03:43
Muhammad Aqib,5,Fantastic game,2025-03-25 19:02:39
Kecap Rusdi,5,game seru😹,2025-03-25 19:01:39
Hamid Arshad,5,The best companion,2025-03-25 19:00:36
Suman Karki,5,one of the best game I enjoyed so far ..,2025-03-25 19:00:09
Saad,5,interested game,2025-03-25 18:58:30
Survey HALLAL,5,fantastic don't involve islam,2025-03-25 18:57:38
Saqlain Ali,5,Very very very very very very very very very very very very very very very very very very Nice Game,2025-03-25 18:57:20
Davie Kaliza,4,"The game is good to play...and I have to say now its competitive than ever. am still not ok with the match making system, as of now tier is no long the basis of the matchmaking. The game is still much engaging...keep the good work.",2025-03-25 18:57:06
chabelita Lagarto,5,sulit tong laro Hinde Ka malulugi...try nyu nalang para Malaman na.,2025-03-25 18:55:49
Asbin Magar,5,it's realistic and better ther free fire 🔥,2025-03-25 18:54:10
Umair Abbasi,5,It's a good game,2025-03-25 18:53:35
SUHAYB,5,thanks 😊 pubg but I didn't have UC be cause I have not card open my,2025-03-25 18:53:35
Alex Imran,5,I love PUBG mobile is the best mobile game in the world I play PUBG mobile every day and I love it,2025-03-25 18:52:45
Elezer Culop,5,I played since 2017 such great game,2025-03-25 18:51:58
Adebayo oluwajuwon temitope,4,PUBG mobile is the only Game that have ever seen in my life as a gamer if you have not played PUBG you're missing a lot in my own experience PUBG is the best and I love it so much just that have a little difference when you don't have money to buy UC 😔 you can't update a powerful gun and make a creative clothes and car transmission. PUBG you are the best 🫶🫶,2025-03-25 18:51:16
Muhammad Haider,5,good,2025-03-25 18:50:29
Foysal Sifkat,5,best game ever i seen,2025-03-25 18:47:40
Ko Khant,5,I love this game very much.,2025-03-25 18:47:14
KING-X T-800,5,my heart,2025-03-25 18:46:48
Sarah Mae Karim,5,"so nice and fun but this are many computer, but it's okay!!",2025-03-25 18:46:38
Mdmahmodorrahman,5,Good game 😚😚😚😚😚🙈🙈🙈,2025-03-25 18:46:18
Onno Khobor,5,love it,2025-03-25 18:44:53
Arbaz Khanzada,5,This is very amazing game and Very good condition game 🎮 for all of guys ❤️ and I like a lots of fun 😊,2025-03-25 18:44:08
MST NAHID SULTANA,5,❤️‍🩹❤️‍🩹,2025-03-25 18:44:00
Mohammad Ayub,5,THIS GAME IS DAY BY DAY 😔,2025-03-25 18:41:47
Sebahet Ceferova,5,🥰😍❤️,2025-03-25 18:40:41
Sarim Khan,5,best game in world 🌎🌍👍🏻🥰🥰😘😘😘,2025-03-25 18:39:40
Justin Bibber.r,5,best game old is gold,2025-03-25 18:39:21
Prince,5,this game is awesome 👌,2025-03-25 18:38:51
Justin Galarosa,5,i love your game so much,2025-03-25 18:38:21
Shayan Arshad,5,very good,2025-03-25 18:36:57
Auf Op,5,"the best game for battle Royale is PUBG mobile ,I play past five years and best graphics everrrrr🤩",2025-03-25 18:36:49
Muhammad Zakir,5,bot lobby solution please solve,2025-03-25 18:35:38
MD RAFIQUL ISLAM,1,Is so bad game in the world,2025-03-25 18:35:03
Jambay Dorji,5,I love it,2025-03-25 18:33:58
Asif Nazo,5,osm,2025-03-25 18:32:07
Mani nawab,5,good work 👏,2025-03-25 18:31:14
Ayan Turk,5,good game,2025-03-25 18:31:06
MUHAMMAD WASEEM,5,very good game,2025-03-25 18:29:09
zayar linhtet,5,this is the best shooting game on mobile i play every day i love this game very this is my message pubg,2025-03-25 18:28:42
Anwar Khan,5,one of my favorite game,2025-03-25 18:28:13
Shatir Memer,1,too much lag in ultimate royal,2025-03-25 18:28:03
Shubham Shrestha,5,best game,2025-03-25 18:28:03
Lord Samael,5,best game,2025-03-25 18:27:41
Naazleen Khan,5,I love it...,2025-03-25 18:27:09
mahdi,5,Nice,2025-03-25 18:27:01
Mirza Asfand,5,very very realistic game,2025-03-25 18:26:45
Mr Beast,5,Good Game,2025-03-25 18:26:34
Zain Mostafa,5,it's so amazing,2025-03-25 18:26:29
سجاد حسين,5,افضل لعبه بدون منازع💪,2025-03-25 18:22:19
David Meester,5,Played since day 1.,2025-03-25 18:21:51
Khan Wazir,5,pubg The Father of everyone Game 🚩💪,2025-03-25 18:21:36
Faizan Ali,5,Good game but not givet to me methik,2025-03-25 18:21:14
NAVEEN DIGUMARTHI,5,love pubg,2025-03-25 18:21:02
FROZEN HANK,5,Just love this game 🤌,2025-03-25 18:20:32
Yoezer Rangshar,5,one of the bestest game ever,2025-03-25 18:19:41
Promax YT,5,I am playing in 2019 steel 2025,2025-03-25 18:19:34
Haji Arab,5,the best fun game,2025-03-25 18:15:38
Daria yousef,5,"Best game ever. I've been playing it since 2017 idk how some people compare this to ""FREE FIRE"" i played it once it was soo bad i deleted right away",2025-03-25 18:15:30
saleem jatt,5,Very good I like very much This world's best game,2025-03-25 18:15:05
Mohammad salim rmo,5,افضل لعبه العبه,2025-03-25 18:14:46
salma akter,5,it is the best game ❤️❤️❤️❤️❤️❤️❤️,2025-03-25 18:14:03
BRIGHT YUOBE,5,"This game has taken a great impact in my life. 1.I not lonely 2.It make me a critical thinker 2.My joy and Happiness I really love 🥰 PUBG Mobile I always try to influence my friends to download it. The more I play, The more I learn, The more I win🏆",2025-03-25 18:12:52
Matric Mollejon,5,Good game 🎮,2025-03-25 18:12:01
Naveed khan Naveed khan,5,best regards,2025-03-25 18:11:02
Abdul Salam,5,amazing 🤩 game,2025-03-25 18:09:59
Taha Younas,5,nice,2025-03-25 18:09:45
Mohammad Aaron,5,best game,2025-03-25 18:08:18
Rehan Khan,1,good,2025-03-25 18:07:46
Sharne,5,I love pubg yes,2025-03-25 18:07:16
taiwan taiwan,5,best game,2025-03-25 18:06:23
Jawad Hotiet,5,best ever,2025-03-25 18:06:06
Sajjad Hussain,5,bht acha hai magar fps ka game khtam karoo,2025-03-25 18:05:21
Khan Farzad,5,beast game on the world,2025-03-25 18:04:42
Amir Turi,5,nice,2025-03-25 18:04:14
FAISAL ABBAS,1,i want to ask that its been 1 year and my lobby have glitches that mix server i can't play with proper players of my region this is not fair,2025-03-25 18:04:03
John Rey Ramones,5,best game in the world pubg mobile,2025-03-25 18:03:10
Tousif Naqvi,5,impressive i have playing this game from 6 years,2025-03-25 18:02:46
Nheil Dominic Lorenzo,5,so many bug,2025-03-25 18:02:40
Muhammad,5,good it makes it enjoyable by meeting new friends and having a relaxed mind,2025-03-25 18:02:34
Anwar Awan,4,It's great game I like this game very much PUBG send me 1000 UC please,2025-03-25 18:01:40
Maryam Khan,5,pubg game song pk,2025-03-25 18:01:33
Amir Bekri,5,good game,2025-03-25 18:01:22
ali Weza,5,♥♥♥,2025-03-25 18:00:49
Mustansir Hussain,5,Nice 🙂,2025-03-25 18:00:11
Hedayat,5,it ruins my life,2025-03-25 17:59:31
Gift Preye,5,best game ever 🥰🥰🥰🥰🥰,2025-03-25 17:58:24
Julius Onin,5,"It's pretty fun once u get the hang of it. However it can be stressful at times, especially when up against privilege players; I myself am not one. Therefore the play style best suited is more passive aggressive. But yeah.. good game, huge storage usage, and not really pay to win. Which is a main factor when deciding games 🤫😆😆",2025-03-25 17:57:42
Kelma Joshua,5,it a great game,2025-03-25 17:57:10
aung aung,5,Thank pubg,2025-03-25 17:57:03
Mustafa Kamal,5,very good,2025-03-25 17:56:00
Toman Gurung,5,best mobile game ever❤️❤️,2025-03-25 17:55:35
Ko Khant,5,Nice,2025-03-25 17:55:22
Noorjahan Begum,5,this very good and joyful game to play or this is better than free fire,2025-03-25 17:52:44
Charo Zahr El dine,5,Can you please remove that you can only use certain amount of objects in our home PLEASE thanks 🙏 overall it's not just the best action game but even better than other non action games keep it up 🤗❤️Soooooo BEST.GAME.EVER.<3,2025-03-25 17:52:23
Bri an Costales,5,realistic game,2025-03-25 17:52:08
margina ali,1,I am playing this game 6 years and open upto 2000 plus crates no upgrade gun .. dear pubg i am quite...,2025-03-25 17:51:32
Sohil Khan,5,One off the best game i pleed ever 🥰✌️,2025-03-25 17:50:31
Swati Log,5,Gooooodddd,2025-03-25 17:50:06
Asghar Ali,5,good game,2025-03-25 17:48:10
Abdul Malik Mohammed,5,I like PUBG mobile,2025-03-25 17:46:31
Abdali Baba,5,nice game,2025-03-25 17:46:16
Shahidur Rahman Rahman,1,soooooooooooooooo bad graphichs and soooo glitch i Don't like pubg free fire is sooooo high graphic game pubg is soooooooooooo bad game i rate this game only 0.1 star,2025-03-25 17:46:13
Sallamya Hussain,1,This game is very very even mobile is best heavy please reduce it 🙏 😢 please,2025-03-25 17:45:47
Ajay Kushwaha,5,good game,2025-03-25 17:44:26
Umar Farooq,1,free fire pubg ka bap,2025-03-25 17:42:38
Mark Allan Rodriguez,5,good games,2025-03-25 17:41:04
MARK BERNARD VILLNUEVA,5,"the overall game experience is great but please stop making skins for girls, most of the player here are boys. I'm not sure if the devs are all girls but please stop it.",2025-03-25 17:39:29
Johanan Naaman,3,"Dear PUBG! I love to play PUBG! I'm giving a feedback after 2 years now and last time I gave a feed back was regarding ingame technical issues, which are no longer anymore appreciate that. I would like to suggest something! Please add male character cloths in the royal pass. You have given us enough ladies. I'll give a 5 star feedback when I get the glacier M4. 👍",2025-03-25 17:39:29
Hussnain Asif,5,this is very nice game,2025-03-25 17:39:00
Min Bahadur,3,𝙣𝙞𝙘𝙚,2025-03-25 17:36:06
Hadi Ch,5,Best Game,2025-03-25 17:35:58
Saito Fan,4,great time pass,2025-03-25 17:35:34
Tr Tayeb,1,godd,2025-03-25 17:35:24
Mano,4,this game is very good but very huge,2025-03-25 17:34:14
Shaafici Cabdulahi,5,best game,2025-03-25 17:33:27
